@RELATION svmTaps
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {enter,a,NOISE,space,q}

@DATA
0.160163,0.005422,2.301017,0.270876,0.218296,1.668778,0.002308,0.281307,-26.936018,0.291091,0.248505,0.176329,-0.066776,-0.352411,0.031456,0.007893,0.153488,0.212050,-0.152356,0.100743,-0.053675,0.004078,0.003800,0.033214,0.003544,0.015421,0.004349,0.017371,0.002335,0.003816,0.003789,0.005341,0.004531,0.010497,0.030074,0.005431,0.561904,0.048003,0.043731,0.700311,0.002055,0.175353,1.987370,1.319245,0.254896,0.138035,0.205019,0.340837,0.218563,0.319543,0.098645,0.165106,0.325084,0.126115,0.119495,0.003161,0.002621,0.047211,0.003705,0.022513,0.003971,0.011623,0.000675,0.003731,0.001702,0.003141,0.003775,0.012005,enter
0.137591,0.002611,2.539748,0.252798,0.226429,1.495642,0.002093,0.221416,-28.657952,0.281698,0.707753,0.512417,-0.034061,-0.187936,0.223668,-0.041137,0.373042,0.036875,0.094208,0.186046,-0.042795,0.003535,0.002517,0.042734,0.005019,0.018995,0.005765,0.079045,0.000884,0.002103,0.004566,0.015617,0.002796,0.024329,0.026108,0.003733,0.738514,0.034273,0.049216,0.199730,0.001333,0.029187,1.873874,0.911953,0.461574,0.278160,0.193287,0.230448,0.309576,0.124408,0.241883,0.131361,0.085127,0.056818,0.261504,0.002737,0.002402,0.029646,0.007449,0.016729,0.006327,0.058536,0.000342,0.001654,0.001981,0.010529,0.001629,0.015956,enter
0.136570,0.003167,2.531371,0.239014,0.209525,1.450353,0.002313,0.210753,-29.048064,-0.220883,0.460133,0.323810,-0.120507,-0.211493,0.074696,-0.001401,0.377172,0.309933,0.073094,0.097528,0.001065,0.004254,0.003986,0.015520,0.001783,0.016350,0.006234,0.053539,0.001986,0.003096,0.003153,0.019504,0.004926,0.016027,0.021424,0.004887,0.817224,0.034919,0.049836,0.231777,0.001540,0.014735,2.240915,1.195996,0.210707,0.175996,0.198345,0.216441,0.272380,0.166518,0.150876,0.204617,0.194732,0.066462,0.129343,0.000577,0.001207,0.010528,0.001061,0.022798,0.006926,0.031258,0.001582,0.001942,0.001057,0.018364,0.002360,0.008901,enter
0.158802,0.003513,2.686683,0.248060,0.204301,1.643803,0.001817,0.257940,-27.698085,0.047504,0.742481,0.169856,0.065766,-0.183175,0.120291,-0.117801,0.238461,0.015221,-0.000167,0.064679,0.010587,0.003231,0.001381,0.012013,0.001487,0.008625,0.001776,0.068380,0.000947,0.003860,0.002315,0.012648,0.005344,0.019175,0.042279,0.004528,0.672020,0.017209,0.022220,0.294267,0.001232,0.037035,1.174496,0.501779,0.116924,0.364822,0.263869,0.170201,0.074634,0.146333,0.158444,0.104499,0.122516,0.187405,0.095862,0.001294,0.000862,0.008470,0.000973,0.006557,0.000204,0.071819,0.000452,0.002910,0.000680,0.017377,0.004196,0.019002,enter
0.107532,0.002817,2.258548,0.247470,0.211040,1.462434,0.003739,0.253630,-27.583126,0.402378,0.486637,0.101462,-0.158740,-0.467013,-0.288368,-0.072403,0.219464,0.321643,0.341173,-0.034758,-0.058066,0.003123,0.001901,0.004635,0.002273,0.013649,0.006810,0.035893,0.001131,0.019845,0.004432,0.007287,0.002220,0.010814,0.043217,0.002500,0.543090,0.058526,0.041852,0.813277,0.004222,0.187540,1.821176,1.103899,0.432471,0.305057,0.236420,0.267262,0.343709,0.263834,0.271776,0.332404,0.192199,0.138894,0.142498,0.001693,0.000972,0.001684,0.000961,0.018776,0.007510,0.030300,0.000524,0.028447,0.001551,0.003858,0.001433,0.010516,enter
0.154152,0.003069,2.219612,0.276413,0.221910,1.544236,0.002593,0.285617,-30.072618,0.189850,0.453562,0.232657,0.066193,-0.200787,-0.002343,-0.006597,0.071220,0.032285,0.061881,0.053840,0.033919,0.002478,0.001833,0.027101,0.002525,0.027559,0.003994,0.033815,0.001406,0.001750,0.004097,0.008024,0.001641,0.015002,0.012121,0.005098,0.834563,0.044464,0.048227,0.564433,0.002240,0.146947,2.780407,1.288783,0.076646,0.153349,0.163109,0.188037,0.230594,0.124113,0.164041,0.265322,0.191273,0.182417,0.338558,0.001429,0.000668,0.030860,0.001206,0.034333,0.002560,0.021303,0.000886,0.000101,0.002771,0.005864,0.000888,0.010211,enter
0.143376,0.003422,1.705964,0.239672,0.215318,1.334228,0.003428,0.200091,-28.480385,-0.223888,0.365986,-0.235330,-0.170588,-0.034535,0.167086,-0.041538,-0.022365,0.032287,0.135465,0.330379,0.066669,0.003187,0.002386,0.018018,0.019792,0.008811,0.003432,0.006362,0.002143,0.001452,0.015328,0.001577,0.001879,0.007816,0.052954,0.005079,0.913499,0.039402,0.029887,0.584071,0.004896,0.102047,2.169543,1.545618,0.321548,0.510626,0.406210,0.408074,0.246086,0.124479,0.058251,0.205038,0.186549,0.143946,0.238826,0.000806,0.000981,0.023168,0.031270,0.011884,0.000728,0.003635,0.001087,0.000399,0.020676,0.000413,0.001322,0.010480,enter
0.159029,0.002612,2.371859,0.275706,0.241853,1.364081,0.002486,0.290154,-29.643159,0.969511,0.528968,0.000297,0.089863,-0.011684,0.067562,0.006552,0.139394,-0.058871,0.052833,-0.075642,-0.116144,0.003644,0.003145,0.078791,0.006038,0.016013,0.005092,0.049869,0.001371,0.002019,0.007237,0.006399,0.003822,0.026083,0.024115,0.004350,1.021413,0.039623,0.049129,0.292057,0.001694,0.105366,2.420032,1.055477,0.350686,0.134392,0.100678,0.104879,0.153186,0.140035,0.135581,0.010510,0.113436,0.139361,0.133570,0.001388,0.001120,0.073756,0.005207,0.015208,0.003099,0.034063,0.000781,0.001097,0.006698,0.003759,0.002179,0.019131,enter
0.121484,0.012727,2.821470,0.219963,0.206463,1.364172,0.003610,0.289247,-24.305636,1.303587,-0.723082,-0.512163,0.091164,0.039440,0.216651,-0.064808,-0.053564,0.039506,-0.038426,0.133679,-0.023975,0.005275,0.004466,0.008287,0.002377,0.013463,0.018449,0.009404,0.001797,0.004165,0.021111,0.018276,0.002315,0.010224,0.066770,0.008528,0.309599,0.068376,0.017633,0.793410,0.003844,0.176688,1.178140,1.014113,0.510229,0.369910,0.213013,0.142429,0.297326,0.107459,0.219948,0.062698,0.147970,0.212785,0.185320,0.001830,0.002664,0.006524,0.001341,0.011479,0.018591,0.007489,0.000624,0.003509,0.017553,0.008088,0.000875,0.003565,enter
0.149841,0.002878,2.238762,0.226763,0.201292,1.441825,0.001775,0.202813,-29.470511,-0.354980,0.331084,0.140313,-0.175897,-0.009318,0.062716,-0.116896,0.055875,-0.061721,0.185174,-0.054857,-0.105290,0.003006,0.003678,0.010264,0.003133,0.007254,0.002949,0.013927,0.005426,0.003622,0.004218,0.005922,0.003470,0.004743,0.021909,0.004341,0.891884,0.003472,0.033892,0.298921,0.001319,0.040645,2.744945,0.890883,0.226030,0.313484,0.118575,0.403555,0.347241,0.388535,0.102396,0.359803,0.137763,0.153594,0.114892,0.001367,0.000854,0.005702,0.003228,0.008624,0.001231,0.014989,0.003791,0.002723,0.002389,0.005085,0.001787,0.003566,enter
